mse:0.34534912044363225, mae:0.3751260689993945
mse:0.363640562140165, mae:0.38800533137613447
mse:0.3897516235842953, mae:0.4060882328549664
mse:0.42417745266598333, mae:0.42576956649875397
mse:0.4425779758620413, mae:0.43638980933927435
mse:0.24178153736154562, mae:0.3067876602540452
mse:0.28272830726742615, mae:0.3349912264628018
mse:0.30372332482192416, mae:0.34696375998924195
mse:0.36005873173464376, mae:0.3806262537755363
mse:0.3909668813810423, mae:0.3961748649924162
mse:0.5380691570105387, mae:0.4536012767846651
mse:0.47650875281895577, mae:0.4277921857956414
mse:0.4446868423025248, mae:0.41467765004029683
mse:0.5047487532622557, mae:0.4477467796547274
mse:0.4733591184739518, mae:0.43270556948719296
mse:0.15098306705843526, mae:0.2441291244843257
mse:0.17444428732620804, mae:0.2622528134636384
mse:0.1939461438895837, mae:0.27591453816880285
mse:0.22850525740216776, mae:0.29637317565211074
mse:0.25577580649496146, mae:0.31198073079684097
