mse:0.2442017617792238, mae:0.3050874107735257
mse:0.27599694005595954, mae:0.32821475617632656
mse:0.30683452019625124, mae:0.3482598355578349
mse:0.3485060291630881, mae:0.3729108750471722
mse:0.39157448572135406, mae:0.3981832524088955
mse:0.44088925083400227, mae:0.4366850906130373
mse:0.49915471985114024, mae:0.4359747667778321
mse:0.46439741786606126, mae:0.4230133562262313
mse:0.43253620944281373, mae:0.40973999851642084
mse:0.5043021328141508, mae:0.4457875557117432
mse:0.4992915294904639, mae:0.44373661244954127
mse:0.5250516559057701, mae:0.4647262797299165
