mse:0.34549347245773154, mae:0.3760022062675464
mse:0.3661896484566142, mae:0.38834358250470974
mse:0.3873353294132, mae:0.4058249654311894
mse:0.42244057934955825, mae:0.42386337091202364
mse:0.4455317108548676, mae:0.4344173192689746
mse:0.5060697802860282, mae:0.4711523668470926

mse:0.23919658828625356, mae:0.30385986210872373
mse:0.2773036217749989, mae:0.3294896476312904
mse:0.3058694060095979, mae:0.34929771751860955
mse:0.37004525017620743, mae:0.3880680563417629
mse:0.39376950997674987, mae:0.39950793307702664
mse:0.4441658813499046, mae:0.4398182295628756

mse:0.4972208609226057, mae:0.43267918767170993
mse:0.4742990327678983, mae:0.4267084834572842
mse:0.4382441685161262, mae:0.41326029901431477
mse:0.5338164869651042, mae:0.4570507765814323
mse:0.47999685227289574, mae:0.4360171952539303
mse:0.5462994490023644, mae:0.4705827127943947

mse:0.15167572347621477, mae:0.24548843335452827
mse:0.1758166908520217, mae:0.265169227284129
mse:0.1949531464314565, mae:0.27762069596112166
mse:0.22853837824995765, mae:0.2966890031440905
mse:0.2568097131964556, mae:0.31305017266861496
mse:0.3267767956028253, mae:0.3580530087357394
