mse:0.3455486282143457, mae:0.3757847492197483
mse:0.36608821085739407, mae:0.38814863459670956
mse:0.3840282153398387, mae:0.4023240861815653
mse:0.42261458664947416, mae:0.42410516668115167
mse:0.44631069767825354, mae:0.4349689968858522
mse:0.24016688401165506, mae:0.3056003226909459
mse:0.28106034644963945, mae:0.3335574915842808
mse:0.3068446523277507, mae:0.35025053034457954
mse:0.3670101515733721, mae:0.38145841150158377
mse:0.3934682614522248, mae:0.3982775096070505
mse:0.48090226949050446, mae:0.4360546175242838
mse:0.15112822372191953, mae:0.24459725333794796
mse:0.17602827905025928, mae:0.2654266078335842
mse:0.19470784055456292, mae:0.2771975874770392
mse:0.23000636151037704, mae:0.2985492325540564
mse:0.2564522509110217, mae:0.31220648742693335
