mse:0.3456163287078623, mae:0.37614712518851245
mse:0.3654508111357222, mae:0.38872749491831127
mse:0.38361297907906333, mae:0.4024531845986522
mse:0.42289856580386515, mae:0.4208642122385752
mse:0.45070399972930547, mae:0.4405347760524303
mse:0.5002354502209512, mae:0.46400028902795787

mse:0.24138704948245615, mae:0.30798590072801163
mse:0.29061928405249066, mae:0.34403946002147595
mse:0.3079419572702216, mae:0.35079786259567286
mse:0.35436949388668143, mae:0.37617643515602883
mse:0.4335200875033318, mae:0.42445076250063524
mse:0.47827351388387923, mae:0.4592661649398579

mse:0.5134049135576948, mae:0.438867583178626
mse:0.482470652537061, mae:0.4304829923145968
mse:0.47142577338140434, mae:0.43014246760625025
mse:0.5206388467928537, mae:0.45325411100965757
mse:0.4883318427726212, mae:0.43999817880604314
mse:0.5198161917495898, mae:0.46176424538870714

mse:0.17442321866311722, mae:0.27272754423933976
mse:0.17059039170551596, mae:0.25814530998533475
mse:0.18583054978229285, mae:0.2679834863836969
mse:0.23369538715461063, mae:0.30239748240952713
mse:0.2615902602622595, mae:0.3183632050166958
mse:0.32720875515567976, mae:0.35724036962952954
